ID	EN
6362	benchmarking
4844	Benelux
4845	Benelux countries
4846	Benin
4847	Berlin
4848	Bermuda
3835	beryllium
4859	BEUC
5017	beverage
1378	beverage industry
4862	Bhutan
4864	bibliography
4871	bicameral system
8511	Bihor  [V4.3]
3462	bilateral agreement
845	bilateral aid
3196	bilateral relations
4888	bilingualism
5169	bio-ethics
3796	bio-industry
4889	biochemistry
6385	bioclimatology
4890	bioconversion
4891	biodegradability
5463	biodiversity
4892	bioenergy
8412	biofuel  [V4.3]
4900	biogas
4905	biography
2080	biological standard
3419	biological weapon
4921	biology
4930	biomass
3697	biomaterials
7410	biometrics
3795	bioprocess
4940	biosphere
3797	biotechnology
5464	biotope
4959	bipolarisation
5760	bird
3168	birth control
2480	birth policy
2029	births
4984	biscuit factory
4990	bismuth
8512	Bistrita-Nasaud  [V4.3]
3756	bituminous materials
5736	Black Sea
8333	Blagoevgrad region  [V4.3]
4751	blank ballot paper
7998	Blekinge county
8413	blog  [V4.3]
5717	blood disease
5293	blood transfusion
2207	blue-collar worker
1107	blue-veined cheese
115	board of directors
5687	boarding school
5397	boiler
5020	Bolivia
3825	bolt and screw industry
5468	bomber
5022	Bonaire
2098	bond
3884	bonded wood
4688	boned meat
2619	bonus payment
1392	book trade
1629	bookshop
5540	border control
1213	border war
6323	boreal forest
5026	Borneo
736	borrowing
5469	Bosnia and Herzegovina
5028	botany
8505	Botosani  [V4.3]
5029	Botswana
4719	bottled wine
722	bottling
2633	bracket price
3266	bracket rate
8528	Braila  [V4.3]
934	brain drain
4313	branch
5985	branch of activity
3661	brand name
5470	Brandenburg
8500	Brasov  [V4.3]
7830	Bratislava region
5040	Brazil
1498	breach of domicile
2	breach of trust
2221	bread
2226	bread-making
4234	breadwinner
4341	breeder reactor
1929	breeding animal
5039	Bremen
1858	Bretton Woods Agreement
6821	brick
8452	bridge  [V4.3]
8371	British Antarctic Territory  [V4.3]
8373	British Indian Ocean Territory  [V4.3]
1299	British Virgin Islands
2024	British West Indies
5041	Brittany
4698	broadcast videography
2883	broadcasting
263	broker
5046	bromine
6182	browser
5047	brucellosis
5049	Brunei
3039	Brussels region
6112	BSE bovine spongiform encephalopathy
8490	Bucharest — Ilfov  [V4.3]
3898	buckwheat
5030	Buddhism
7339	Buddhist
6730	Buddhist law
5050	budget
3253	budget appropriation
4301	budget authorisation
368	budget deficit
2615	budget estimate
1012	budget financing
2448	budget policy
1824	budget volume
1959	budgetary amendment
917	budgetary assessment
2067	budgetary classification
173	budgetary control
6028	budgetary cooperation
341	budgetary discharge
843	budgetary equilibrium
394	budgetary expenditure
2574	budgetary power
2698	budgetary procedure
3558	budgetary resources
4241	budgetary specification
5904	budgetary stabiliser
4685	buffalo meat
4290	buffer stock
4831	building
3879	building industry
1514	building insulation
1826	building materials
2327	building permit
4442	building plot
3134	building regulations
5309	building safety
4414	building services
3881	building slab
4243	building speculation
775	building subsidy
6916	building technique
490	built-up area
1603	bulb vegetable
5063	Bulgaria
2756	bulk product
4388	bull
5068	bureau of parliament
4174	Bureau of the EP
8329	Burgas region  [V4.3]
6196	Burgenland
5032	Burgundy
1236	Burkina Faso
5072	Burundi
4197	bus
7359	bus station
4703	business activity
644	business administration
1427	business data processing
4606	business lease
1307	business location
1156	business management
7201	business morals
2889	business name
8450	business park  [V4.3]
2469	business policy
5205	business start-up
4406	business tax
6148	BusinessEurope
3768	butane
4860	butter
5073	butter oil
1199	buying group
8529	Buzau  [V4.3]
5253	by-catch
702	by-election
4224	by-product
3260	cabinet reshuffle
4428	cable distribution
4527	cable transport
1844	CACM countries
3836	cadmium
4587	CAEMC countries
8369	CAEU countries  [V4.3]
2117	CAIS countries
5091	Calabria
8522	Calarasi  [V4.3]
5304	calcium
4650	calf
1555	Cambodia
5095	Cameroon
5098	Campania
5099	camping
5331	camping vehicle
5100	Canada
4172	Canary Islands
5104	cancer
5105	candidate
4319	cane sugar
136	cannery
6731	canon law
3385	Cantabria
5112	capacity to contract
5110	capacity to exercise rights
5113	capacity to have rights and obligations
5108	Cape Verde
5230	capital city
409	capital depreciation
1323	capital gains tax
3197	capital goods
4115	capital increase
5156	capital market
2002	capital movement
4493	capital transfer
1324	capital transfer tax
8518	Caras-Severin  [V4.3]
5261	carbon
5263	carcase
4307	carcinogenic substance
1757	cardiovascular disease
7946	care allowance
6233	care for the elderly
2843	care of mothers and infants
4209	care of the disabled
2043	cargo vessel
6338	Caribbean Development Bank
5259	Caribbean Islands
5264	Caricom
5265	Caricom countries
6197	Carinthia
1292	Caroline Islands
4377	carpet
4529	carriage for hire or reward
4509	carriage of goods
4511	carriage of passengers
4542	carrier
3350	carry-over of appropriations
5111	carrying capacity
5631	carrying out of sentence
5267	cartel
5269	cartography
5628	case study
1550	case-law
5270	cash flow
5735	Caspian Sea
1781	cassava
1059	cast-iron
3384	Castile-La Mancha
3382	Castile-Leon
3724	castor bean
6718	casual employment
5274	catalogue
5272	cataloguing
5273	Catalonia
4788	catch area
5256	catch by species
5255	catch of fish
2879	catch quota
3563	catering
1373	catering industry
